"Origin","Proverb"
"Acholi","The pot of water falls from your head when you have just reached the door of your homestead."
"Acholi","Women have no chief."
"Acholi","When a lion roars, he does not catch game."
"Acholi","The one who asks commits no sin."
"Acholi","The old pumpkin in the courtyard shall not be uprooted."
"Acholi","The growing millet does not fear the sun."
"Acholi","The first may become the last."
"Acholi","Staying near the anthill turned the antelope brown."
"Acholi","Old and new millet seeds end up in the same mill."
"Acholi","Just because you are poor does not mean you have to sleep with your mother."
"Acholi","Each rat with its own whisker."
"Acholi","Death is a scar that never heals."
"Acholi","A monkey left behind laughs at the others tail."
"Acholi","When two elephants fight, it is the grass that suffers."
"Acholi","A dog knows the places he is thrown food."
"Acholi","A crazy man can be recognised not by his words, but by his actions."
"Afghan","Only stretch your foot to the length of your blanket."
"Afghan","Storing milk in a sieve, you complain of bad luck?"
"Afghan","Some men wonder over God's values, others over the cut of a garment."
"Afghan","Smart people get the point from a single hint."
"Afghan","Saying salaam is a sign of true faith."
"Afghan","Same donkey, different saddle."
"Afghan","Salt preserves meat, but what can be done with salt if it is bad."
"Afghan","Reading Scripture in front of a donkey."
"Afghan","Patience is bitter, but it has a sweet fruit."
"Afghan","Only stretch you foot to the length of your blanket."
"Afghan","That which is obvious does not need to be explained."
"Afghan","The land of marriage has this peculiarity: That strangers are desirous of inhabiting it, while its natural inhabitants would gladly be exiled."
"Afghan","Only bread and an onion? Your life's still an open one."
"Afghan","Poor iron won't make a sharp sword."
"Afghan","The best weapon is the one that's to hand."
"Afghan","The butcher should not be trusted that has missing neighbors."
"Afghan","The cheap thing isn't without problem, the expensive without help."
"Afghan","The crow is clever, but looks at what it eats."
"Afghan","The deaf laugh twice."
"Afghan","The first day you meet, you are friends; the next day you meet, you are brothers."
"Afghan","One who runs will also fall."
"Afghan","The flower has no front or back."
"Afghan","Not cheap without reason, nor dear without value."
"Afghan","The man dying to hang himself can always find a noose."
"Afghan","The mud of one country is the medicine of another."
"Afghan","The person who is cornered will fight."
"Afghan","The right answer to a fool is silence."
"Afghan","The river won't get dirty just by the dog's bark."
"Afghan","The first day you see a friend; the next day, a brother."
"Afghan","May God not make one hand dependent on the other."
"Afghan","If you want to keep camels, have a big enough door."
"Afghan","In an ant colony, the dew is a flood."
"Afghan","In bad things be slow; in good things be quick."
"Afghan","In childhood you are palyful, In youth you are lustful In old age you are feeble, So when will you before God be worshipful?"
"Afghan","In the ditch where water has flowed, it will flow again."
"Afghan","In the shop of the sightless jeweler, the ruby and pebble are one."
"Afghan","Instead of better, it got worse."
"Afghan","It is easier to wage war with wise enemies than be at peace with foolish friends."
"Afghan","It may smell like a melon, but is it going to make you sick?"
"Afghan","It's the same donkey, but with a new saddle."
