ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
100001,what was the name of the teenage witch on the archie show,sabrina,,,,,,,,,
100002,who was awarded the nobel peace prize after dying in a plane crash,dag hammarskjold,,,,,,,,,
100003,what food does garfield hate the most,spinach,,,,,,,,,
100004,"who was toronto's ""tiny, perfect mayor""",david crombie,,,,,,,,,
100005,what actress starred in the homecoming (pn),patricia neal,,,,,,,,,
100006,where was the first subway built,england,,,,,,,,,
100007,who was the narrator in herman melville's moby dick,ishmael,,,,,,,,,
100008,music: who recorded running bear in 1960,johnny preston,,,,,,,,,
100009,tv: what was the number of the m,a,s,h unit,4077th,4077,,,,,
100010,what us president founded the national foundation for infantile paralysis,franklin d roosevelt,fdr,,,,,,,,
100011,gary powers u-2 mission over russia in 1960 was known as,operation overflight,,,,,,,,,
100012,music: name the oldest of the four beatles,ringo starr,,,,,,,,,
100013,what state has the largest area of us forest land within its boundaries,alaska,,,,,,,,,
100014,who many wings does a flea have,none,0,,,,,,,,
100015,"what's the official language of egypt, tunisia and morocco",arabic,,,,,,,,,
100016,canadian: sled dog first bred by eskimos,malemute,,,,,,,,,
100017,"what has more than 80,000 arms",basket starfish,,,,,,,,,
100018,"film: who played ""laura kelly"" in legal eagles",debra winger,,,,,,,,,
100019,what actor played socrates miller in the people's choice,jackie cooper,,,,,,,,,
100020,"what tv series featured the line: ""warning, aliens approaching""",lost in space,,,,,,,,,
100021,what's the capital of bahamas,nassau,,,,,,,,,
100022,"he said ""the game isn't over till it's over""",yogi berra,,,,,,,,,
100023,"what sci-fi film opens with the words ""episode iv-a new hope""",star wars,,,,,,,,,
100024,where is la figaro published,paris,,,,,,,,,
100025,"what us state was named after the omaha or otos word meaning ""flat river""",nebraska,,,,,,,,,
100026,"who's the only president buried in washington, dc",woodrow wilson,,,,,,,,,
100027,"music artists: who did ""brown sugar"" in 1971",rolling stones,,,,,,,,,
100028,"in li'l abner, what was daisey mae's maiden name",scraggs,,,,,,,,,
100029,name the first successful us hydroplane built in 1911,flying fish,,,,,,,,,
100030,what was the character name of starsky & hutch's captain,captain dobey,,,,,,,,,
100031,leap year was introduced with which calendar,julian calendar,,,,,,,,,
100032,music: in what group did graham nash get his start,hollies,,,,,,,,,
100033,who built the ancient city of machu picchu in peru,incas,,,,,,,,,
100034,what animal saved arion from drowning,dolphin,,,,,,,,,
100035,which star wars cast member was a regular on general hospital,mark hamill,,,,,,,,,
100036,who owns: foamy shaving cream,gillette,,,,,,,,,
100037,which invention was made by joseph swan and also by thomas edison,electric light bulb,,,,,,,,,
100038,beautiful lake lucern can be visited in what european country,switzerland,,,,,,,,,
100039,"a ""light year"" measures",distance,,,,,,,,,
100040,what company supplied uniforms for the first green bay packers football team,acme packing company,,,,,,,,,
100041,what actress played jane miller in the good life,donna mills,,,,,,,,,
100042,who belonged to the fraternal lodge mystic knights of the sea,amos and andy,,,,,,,,,
100043,what was def leopard's latest album after what happened to the drummer,hysteria,,,,,,,,,
100044,what was the largest city in the communist world,shanghai,,,,,,,,,
100045,what actress portrayed cassie cranston in the sitcom it's a living,ann jillian,,,,,,,,,
100046,what conclusive battle ended the french stay in viet nam,dien bien phu,,,,,,,,,
100047,who played inspector clouseau's deranged superior in the pink panther movie,herbert lom,,,,,,,,,
100048,who was the only daughter of jawaharlal nehru,indira gandhi,,,,,,,,,
100049,what italian explorer is buried in the dominican republic,columbus,,,,,,,,,
100050,what kind of whispers did george michael croon about,careless whispers,,,,,,,,,
100051,what actress starred in haywire,lee remick,,,,,,,,,
100052,what do americans receive the most amount of radiation from,x-rays,,,,,,,,,
100053,where is the human skin least sensitive,heel,,,,,,,,,
100054,"what film ends with the line: ""this is mrs norman maine""",star is born,,,,,,,,,
100055,nitroglycerin is used to relieve _____ pain,angina,,,,,,,,,
100056,what's californias most famous fault,san andreas,,,,,,,,,
100057,what's the capital city of the province of prince edward island in canada,charlottetown,,,,,,,,,
100058,columbia is the capital of what state,south carolina,,,,,,,,,
100059,"what group sang ""what you need""",inxs,,,,,,,,,
100060,what was pat nixon's real first name,thelma,,,,,,,,,
100061,"who was known as ""the sultan of swat""",babe ruth,,,,,,,,,
100062,"who penned ""a child's garden of verses""",robert louis stevenson,,,,,,,,,
100063,what british airport was james earl ray captured at,heathrow,,,,,,,,,
100064,for what computer owners is cider magazine geared,apple users,apple,,,,,,,,
100065,what was the colonial name of mali,french sudan,,,,,,,,,
100066,what military service did the halls of montezuma celebrate,marines,marine corps,,,,,,,,
100067,"on the muppet show, who is the commanding officer of the starship swinetrek",captain link hogthrob,,,,,,,,,
100068,name the only film made by the monkees,head,,,,,,,,,
100069,"in what 1932 movie did shirley temple, age three, first appear",red haired alibi,,,,,,,,,
100070,"biology: what does the term ""carnivore"" refer too",meat eating animals,,,,,,,,,
100071,the prime meridian passes through which english city,greenwich,,,,,,,,,
100072,what's the official state bird of the state of utah,seagull,,,,,,,,,
100073,"what was the sequel to ""claudia""",claudia & david,claudia and david,,,,,,,,
100074,"""a child's adventure"" was recorded by",marianne faithful,,,,,,,,,
100075,who was the original host of the quiz show break the bank,bert parks,,,,,,,,,
100076,who was always setting up mr bill to be squished by sluggo,mr hands,,,,,,,,,
100077,what is the occupation of eddie arcaro,jockey,,,,,,,,,
100078,"elvis: how many songs were sung in the motion picture ""blue hawaii""",fourteen,14,,,,,,,,
100079,who painted 6000 square feet of the ceiling of the sistine chapel,michelangelo,,,,,,,,,
100080,which is the largest primate,gorilla,,,,,,,,,
100081,"who recorded ""keep a knocking"" in 1957",little richard,,,,,,,,,
100082,budgerigar is another name for what kind of bird,parakeet,,,,,,,,,
100083,name the first live supertramp lp,paris,,,,,,,,,
100084,what part of europe did the normans leave to invade england in 1066,normandy,,,,,,,,,
100085,what was the name of luke mccoy's wife in the real mccoys,kate,,,,,,,,,
100086,grammy awards: what album by toto won the grammy in 1982,toto iv,,,,,,,,,
100087,"what was first recorded in 240 bc, and returns every 76 years",halley's comet,,,,,,,,,
100088,what finals did miroslav mercir win at the 1988 olympics,men's singles tennis,,,,,,,,,
100089,who played colonel robert hogan on hogan's heroes,bob crane,,,,,,,,,
100090,what membrane controls the amount of light entering the eye,iris,,,,,,,,,
100091,what was hemingway's tough romantic anti-war novel,a farewell to arms,,,,,,,,,
100092,measurement: 15 pounds per square inch equal,one atmosphere,,,,,,,,,
100093,"what horse was saddled with the name which means ""little girl"" in swedish (my friend ______)",flicka,,,,,,,,,
100094,"who wrote ""peyton place""",grace metalious,,,,,,,,,
100095,on what soap was the robot sico featured,days of our lives,,,,,,,,,
100096,what satellite carried the first trans-atlantic tv broadcast,telstar,,,,,,,,,
100097,parchment was made from,goat skin,,,,,,,,,
100098,what's the locale for barney miller (tv show),new york city,,,,,,,,,
100099,what is the highest military medal given in the united kingdom,victoria cross,,,,,,,,,
100100,007: what james bond story does the climax occur aboard the orient express,from russia with love,,,,,,,,,
100101,poison oak and poison ivy are members of what plant family,cashew,,,,,,,,,
100102,in what city does chocolate ave intersect cocoa ave,hershey,,,,,,,,,
100103,leonine refers to what kind of animal,lion,,,,,,,,,
100104,"what tom cruise movie's ads declared: ""when he pours, he reigns""",cocktail,,,,,,,,,
100105,what are slicks in auto racing jargon,tires,,,,,,,,,
100106,"who recorded ""four walls"" in 1957",jim lowe,,,,,,,,,
100107,which gang was responsible for the first train robbery in the us,reno brothers,,,,,,,,,
100108,"in human biology, what is the process of (normal) cell division",mitosis,,,,,,,,,
100109,in which film did gene kelly dance with a cartoon mouse,anchors aweigh,,,,,,,,,
100110,"music: who saw ""fire and rain""",james taylor,,,,,,,,,
100111,who was crusader rabbit's sidekick in the tv cartoon series,rags the tiger,rags,,,,,,,,
100112,how tall was queen victoria,five feet,,,,,,,,,
100113,what state put sam nunn in the senate,georgia,,,,,,,,,
100114,what category of writing are the hugo and nebula awards given for,science fiction,,,,,,,,,
100115,city nicknames: where is motown,detroit,,,,,,,,,
100116,what was the name of big john's son in the high chaparral,billy blue,blue boy,,,,,,,,
100117,in what year were women first allowed to compete in the olympics,1928,,,,,,,,,
100118,what australian city was named after the wife of king william iv,adelaide,,,,,,,,,
100119,"what's a word meaning the ""center of mass""",centroid,,,,,,,,,
100120,"what carmaker's ads boast: ""we build excitement""",pontiac,,,,,,,,,
100121,who hosted the show this is your life,ralph edwards,,,,,,,,,
100122,who played the role of piano man in lady sings the blues,richard pryor,,,,,,,,,
100123,"what sexy rocker did madonna dub ""the midget""",prince,,,,,,,,,
100124,joseph ninian yule played andy hardy but we know him by this name,mickey rooney,,,,,,,,,
100125,what can be found over a door or at the back of a boat,transom,,,,,,,,,
100126,what color is demerara sugar,brown,,,,,,,,,
100127,"music artists: who did ""tough guys"" in 1980",reo speedwagon,,,,,,,,,
